step,true,pred,loss,error,abs_error
0,0.026510717,1.8331956,4.010829448699951,-1.8066849,1.8066849
1,-0.013371226,0.24460128,0.08177419006824493,-0.2579725,0.2579725
2,0.031587485,0.16765617,0.022750232368707657,-0.13606869,0.13606869
3,0.040540013,0.18626414,0.02609349600970745,-0.14572413,0.14572413
4,0.32258287,0.18247922,0.024119503796100616,0.14010365,0.14010365
5,0.30990517,0.31020406,1.0977285569424566e-07,-0.0002988875,0.0002988875
6,0.2516114,0.38247794,0.021043917164206505,-0.13086653,0.13086653
7,0.3610529,0.21903054,0.024784652516245842,0.14202236,0.14202236
8,0.340645,0.35089907,0.00012920040171593428,-0.010254085,0.010254085
9,0.31100285,0.31621593,3.3393203921150416e-05,-0.005213082,0.005213082
10,0.17415835,0.47284043,0.10961946845054626,-0.2986821,0.2986821
11,0.33006424,0.5714265,0.07158269733190536,-0.24136227,0.24136227
12,0.35402974,0.58386934,0.06491111218929291,-0.2298396,0.2298396
13,0.305129,0.48478785,0.03966127708554268,-0.17965886,0.17965886
14,0.30033562,0.4570761,0.03018781915307045,-0.15674049,0.15674049
15,0.5283141,0.6422621,0.015954473987221718,-0.11394799,0.11394799
16,0.5411208,0.594929,0.003557669697329402,-0.053808153,0.053808153
17,0.42106003,0.49891287,0.0074476320296525955,-0.077852845,0.077852845
18,0.4918064,0.5131474,0.000559629057534039,-0.021341026,0.021341026
19,0.7105408,0.7304527,0.0004871870914939791,-0.019911945,0.019911945
20,0.5340684,0.721789,0.043300528079271317,-0.1877206,0.1877206
21,0.66569924,0.7572232,0.010292924009263515,-0.091523945,0.091523945
22,0.655752,1.0614598,0.20225346088409424,-0.40570778,0.40570778
23,0.7507747,0.8516087,0.012493486516177654,-0.10083401,0.10083401
24,0.639204,0.8374751,0.048304568976163864,-0.1982711,0.1982711
25,0.75773907,0.8401841,0.00835215114057064,-0.082445025,0.082445025
26,0.7887312,0.834161,0.0025360030122101307,-0.045429766,0.045429766
27,0.81719214,0.94957674,0.021534951403737068,-0.1323846,0.1323846
28,0.82355946,0.8865575,0.004876665771007538,-0.06299806,0.06299806
29,0.8707318,1.0752394,0.05139121785759926,-0.20450765,0.20450765
30,1.0751868,1.061725,0.00022267921303864568,0.013461828,0.013461828
31,1.1309801,1.1100185,0.0005399106303229928,0.020961642,0.020961642
32,0.8288541,0.88289756,0.0035888508427888155,-0.05404347,0.05404347
33,0.6779463,1.0681485,0.1870892494916916,-0.39020216,0.39020216
