step,true,pred,loss,error,abs_error
0,0.026510717,1.8918617,4.275535583496094,-1.865351,1.865351
1,-0.013371226,0.27647975,0.10323307663202286,-0.28985098,0.28985098
2,0.031587485,0.01080856,0.0005305366357788444,0.020778924,0.020778924
3,0.040540013,0.22974427,0.0439876914024353,-0.18920426,0.18920426
4,0.32258287,-0.038186338,0.15992940962314606,0.3607692,0.3607692
5,0.30990517,0.10978013,0.04921213537454605,0.20012504,0.20012504
6,0.2516114,0.19634674,0.003752877004444599,0.055264667,0.055264667
7,0.3610529,-0.03847235,0.1961362510919571,0.39952525,0.39952525
8,0.340645,0.15442078,0.0426129512488842,0.1862242,0.1862242
9,0.31100285,0.28853,0.0006205624667927623,0.022472858,0.022472858
10,0.17415835,0.32614753,0.028385382145643234,-0.15198918,0.15198918
11,0.33006424,0.45665985,0.019692763686180115,-0.12659562,0.12659562
12,0.35402974,0.55902207,0.051635030657052994,-0.20499232,0.20499232
13,0.305129,0.48974502,0.041880153119564056,-0.18461603,0.18461603
14,0.30033562,0.12245682,0.03887924924492836,0.1778788,0.1778788
15,0.5283141,0.46304905,0.005233967676758766,0.06526506,0.06526506
16,0.5411208,0.54505724,1.90401933650719e-05,-0.00393641,0.00393641
17,0.42106003,0.5069249,0.009059421718120575,-0.0858649,0.0858649
18,0.4918064,0.40283942,0.009725837968289852,0.088966966,0.088966966
19,0.7105408,0.5933288,0.016881592571735382,0.117212,0.117212
20,0.5340684,0.4873257,0.0026847096160054207,0.046742707,0.046742707
21,0.66569924,0.6876918,0.0005943218129687011,-0.021992564,0.021992564
22,0.655752,0.9466582,0.10398609936237335,-0.2909062,0.2909062
23,0.7507747,0.6300457,0.017909865826368332,0.12072897,0.12072897
24,0.639204,0.6597182,0.0005171051598154008,-0.02051419,0.02051419
25,0.75773907,0.7412872,0.00033258472103625536,0.016451895,0.016451895
26,0.7887312,0.7992844,0.0001368461671518162,-0.010553181,0.010553181
27,0.81719214,0.75939995,0.004104008432477713,0.057792187,0.057792187
28,0.82355946,0.7752528,0.002867366885766387,0.048306644,0.048306644
29,0.8707318,0.8315646,0.001885010628029704,0.039167166,0.039167166
30,1.0751868,0.928204,0.02654622681438923,0.14698285,0.14698285
31,1.1309801,0.9963093,0.02228521555662155,0.13467085,0.13467085
32,0.8288541,0.8321564,1.3400132957031019e-05,-0.0033023357,0.0033023357
33,0.6779463,0.90158534,0.06145600974559784,-0.22363901,0.22363901
34,0.98537153,1.2584699,0.0916447788476944,-0.2730984,0.2730984
35,0.9595436,0.8813711,0.0075089167803525925,0.078172505,0.078172505
36,1.0611541,1.1608909,0.012223091907799244,-0.09973681,0.09973681
37,0.9966976,1.1209008,0.018955469131469727,-0.124203146,0.124203146
38,0.9862497,1.2205849,0.06747523695230484,-0.23433518,0.23433518
39,1.1044769,1.1008214,1.6420017345808446e-05,0.0036555529,0.0036555529
40,1.1286752,1.1333784,2.718057294259779e-05,-0.004703164,0.004703164
41,0.87236434,1.1070163,0.06765778362751007,-0.23465198,0.23465198
42,0.93759537,1.134321,0.04755445942282677,-0.1967256,0.1967256
43,1.0159461,0.91586477,0.012307679280638695,0.100081384,0.100081384
44,1.0426153,1.2589172,0.05748970806598663,-0.21630192,0.21630192
45,1.0154597,1.1001475,0.008812748827040195,-0.08468783,0.08468783
46,1.0857904,0.90010643,0.04236610233783722,0.18568397,0.18568397
47,1.1453233,0.88791883,0.08141449838876724,0.25740445,0.25740445
48,1.2203649,0.99962056,0.05987544357776642,0.22074437,0.22074437
49,1.1074122,1.2969006,0.0441199466586113,-0.18948841,0.18948841
50,0.96476835,1.1255404,0.03176070377230644,-0.16077203,0.16077203
51,1.0348077,1.2359062,0.04969207942485809,-0.20109856,0.20109856
52,1.0406258,1.0285877,0.0001780684251571074,0.012038112,0.012038112
53,1.0973226,1.1549104,0.004075032193213701,-0.057587862,0.057587862
54,1.0814648,0.8921641,0.04403252527117729,0.18930066,0.18930066
55,1.243579,1.2256911,0.00039318116614595056,0.01788795,0.01788795
56,0.98739195,1.1119639,0.019068194553256035,-0.12457192,0.12457192
57,1.0661451,1.1030747,0.001675784820690751,-0.036929607,0.036929607
58,1.2564013,1.0457134,0.05454418808221817,0.21068788,0.21068788
59,0.95481366,0.97102284,0.00032284471672028303,-0.016209185,0.016209185
60,1.0194076,0.7142182,0.11444807052612305,0.30518943,0.30518943
61,0.90112793,0.915397,0.0002501846174709499,-0.014269054,0.014269054
62,0.99372286,1.1157113,0.01828552596271038,-0.121988475,0.121988475
63,0.89657575,1.0180457,0.01813039556145668,-0.121469915,0.121469915
64,1.067556,0.73734945,0.13398025929927826,0.33020657,0.33020657
65,0.9650914,0.93229437,0.0013217177474871278,0.03279704,0.03279704
66,0.84351856,1.1043965,0.08362647145986557,-0.2608779,0.2608779
67,1.0070388,1.1892923,0.04081513360142708,-0.18225348,0.18225348
68,0.92610735,0.9737557,0.0027897474355995655,-0.04764837,0.04764837
69,0.9878263,0.6271564,0.1598413735628128,0.3606699,0.3606699
70,0.7614369,0.74715453,0.0002506505697965622,0.014282346,0.014282346
71,0.8960098,0.9887001,0.010556938126683235,-0.09269029,0.09269029
72,0.9186618,0.7397357,0.0393383763730526,0.17892605,0.17892605
73,0.7804771,0.8081466,0.000940744997933507,-0.02766949,0.02766949
74,0.6777004,0.65289795,0.000755891262087971,0.024802446,0.024802446
75,0.77953625,0.81848097,0.0018636621534824371,-0.03894472,0.03894472
76,0.88592786,0.8135389,0.00643892353400588,0.07238895,0.07238895
77,0.854465,0.65750784,0.04766645282506943,0.19695717,0.19695717
78,0.6771353,0.65504193,0.0005997804692015052,0.022093356,0.022093356
79,0.56914115,0.5831954,0.00024270803260151297,-0.014054239,0.014054239
80,0.6311847,0.5988012,0.0012885946780443192,0.0323835,0.0323835
81,0.6037063,0.71308625,0.014700927771627903,-0.10937995,0.10937995
82,0.6708667,0.48345274,0.04315918684005737,0.18741399,0.18741399
83,0.5908257,0.63612753,0.002521742833778262,-0.045301855,0.045301855
84,0.50055975,0.6477044,0.026604723185300827,-0.14714468,0.14714468
85,0.66035116,0.55717367,0.013080950826406479,0.10317749,0.10317749
86,0.5375078,0.59117264,0.003538747550919652,-0.053664863,0.053664863
87,0.54007334,0.51386166,0.0008442267426289618,0.026211679,0.026211679
88,0.2966521,0.35809562,0.00463896756991744,-0.061443508,0.061443508
89,0.1989228,0.33740798,0.023565467447042465,-0.13848518,0.13848518
90,0.2694019,0.19266498,0.007235663942992687,0.07673693,0.07673693
91,0.33654818,0.32311085,0.00022186867136042565,0.013437331,0.013437331
92,0.41335458,0.38651142,0.0008853935869410634,0.02684316,0.02684316
93,0.092314035,-0.026571987,0.017367247492074966,0.118886024,0.118886024
94,0.45638108,0.45459214,3.932473646273138e-06,0.001788944,0.001788944
95,0.28448248,0.51325816,0.06431157141923904,-0.22877568,0.22877568
96,0.37359455,0.2762713,0.011638653464615345,0.09732324,0.09732324
97,0.11895391,0.07381582,0.0025035489816218615,0.04513809,0.04513809
98,0.22780773,0.19381844,0.0014195600524544716,0.033989295,0.033989295
99,0.15573625,0.11991924,0.0015763338888064027,0.035817012,0.035817012
100,0.19874401,0.06002477,0.023645194247364998,0.13871925,0.13871925
101,0.06335905,-0.06613311,0.020604226738214493,0.12949216,0.12949216
102,0.1038672,-0.020910172,0.01913115195930004,0.12477738,0.12477738
103,0.1366582,0.15891613,0.0006087495712563396,-0.022257924,0.022257924
104,-0.06865963,0.0780606,0.02645145170390606,-0.14672023,0.14672023
105,-0.00913119,0.07554349,0.008810012601315975,-0.084674686,0.084674686
106,-0.25174794,0.09622556,0.14878588914871216,-0.3479735,0.3479735
107,-0.022069989,-0.08763218,0.005281727761030197,0.06556219,0.06556219
108,0.07407421,0.0045852987,0.005933355074375868,0.06948891,0.06948891
109,-0.274582,-0.20835307,0.005389707162976265,-0.066228926,0.066228926
110,-0.18765983,-0.15190169,0.001571155502460897,-0.035758138,0.035758138
111,-0.11845744,-0.09704226,0.0005635250126942992,-0.021415174,0.021415174
112,-0.23091295,-0.22003582,0.00014537859533447772,-0.010877132,0.010877132
113,-0.24462542,-0.028602181,0.057341672480106354,-0.21602324,0.21602324
114,-0.32681522,-0.34106353,0.0002494573127478361,0.0142483115,0.0142483115
115,-0.3565791,-0.3459514,0.0001387872180202976,-0.010627687,0.010627687
116,-0.34792176,-0.3654836,0.0003789755573961884,0.017561853,0.017561853
117,-0.3599867,-0.30304423,0.003984210547059774,-0.056942463,0.056942463
118,-0.5065875,-0.41314843,0.010728199034929276,-0.09343907,0.09343907
119,-0.4187003,-0.37729225,0.002106874482706189,-0.041408062,0.041408062
120,-0.2782438,-0.54321736,0.0862729474902153,0.26497355,0.26497355
121,-0.49933538,-0.6022063,0.013003330677747726,0.10287091,0.10287091
122,-0.6027815,-0.62715584,0.0007300212164409459,0.024374366,0.024374366
123,-0.51512635,-0.45652995,0.004219019785523415,-0.058596402,0.058596402
124,-0.59165734,-0.5166932,0.00690520741045475,-0.074964166,0.074964166
125,-0.67351407,-0.49367806,0.039739519357681274,-0.179836,0.179836
126,-0.5445109,-0.6022579,0.004097588360309601,0.057747006,0.057747006
127,-0.64746207,-0.71010834,0.004822378046810627,0.06264627,0.06264627
128,-0.6561652,-0.7131254,0.003986679017543793,0.056960225,0.056960225
129,-0.5948624,-0.61899024,0.0007153312326408923,0.024127841,0.024127841
130,-0.7792843,-0.5736878,0.051939889788627625,-0.2055965,0.2055965
131,-0.81513685,-0.9237967,0.014508006162941456,0.10865986,0.10865986
