step,true,pred,loss,error,abs_error
0,0.026510717,1.8945086,4.2876787185668945,-1.8679979,1.8679979
1,-0.013371226,0.06061739,0.006726657040417194,-0.07398862,0.07398862
2,0.031587485,-0.013784287,0.002529535675421357,0.04537177,0.04537177
3,0.040540013,0.013650659,0.0008884448907338083,0.026889354,0.026889354
4,0.32258287,0.03132451,0.10423804074525833,0.29125836,0.29125836
5,0.30990517,0.19603163,0.01593363657593727,0.11387354,0.11387354
6,0.2516114,0.31115022,0.004355818964540958,-0.05953881,0.05953881
7,0.3610529,0.11428937,0.07482235133647919,0.24676353,0.24676353
8,0.340645,0.28797412,0.0034088674001395702,0.052670866,0.052670866
9,0.31100285,0.25727236,0.0035474069882184267,0.053730488,0.053730488
10,0.17415835,0.4168591,0.07237884402275085,-0.24270074,0.24270074
11,0.33006424,0.5374361,0.05284077301621437,-0.20737189,0.20737189
12,0.35402974,0.5485547,0.04649648815393448,-0.19452497,0.19452497
13,0.305129,0.43017265,0.019212894141674042,-0.12504366,0.12504366
14,0.30033562,0.41880408,0.0172454584389925,-0.11846846,0.11846846
15,0.5283141,0.60794574,0.007791849784553051,-0.07963163,0.07963163
16,0.5411208,0.5509497,0.00011870749585796148,-0.0098288655,0.0098288655
17,0.42106003,0.46902117,0.002826496260240674,-0.047961146,0.047961146
18,0.4918064,0.48045936,0.00015821028500795364,0.011347026,0.011347026
19,0.7105408,0.70220566,8.53677120176144e-05,0.0083351135,0.0083351135
20,0.5340684,0.69610476,0.03226221352815628,-0.16203636,0.16203636
21,0.66569924,0.71012694,0.002425366546958685,-0.044427693,0.044427693
22,0.655752,1.0229282,0.16566035151481628,-0.36717623,0.36717623
23,0.7507747,0.7995545,0.0029238222632557154,-0.048779845,0.048779845
24,0.639204,0.78141683,0.024851161986589432,-0.14221281,0.14221281
25,0.75773907,0.79495394,0.0017017755890265107,-0.037214875,0.037214875
26,0.7887312,0.7814261,6.557384040206671e-05,0.0073051453,0.0073051453
27,0.81719214,0.905475,0.009576837532222271,-0.08828288,0.08828288
28,0.82355946,0.8369064,0.0002188913058489561,-0.0133469105,0.0133469105
29,0.8707318,1.0307993,0.0314830020070076,-0.1600675,0.1600675
30,1.0751868,1.0035843,0.006299808621406555,0.07160258,0.07160258
31,1.1309801,1.0522296,0.007620374672114849,0.07875049,0.07875049
32,0.8288541,0.80986345,0.0004431466804817319,0.018990636,0.018990636
33,0.6779463,0.9996514,0.1271701455116272,-0.32170504,0.32170504
34,0.98537153,1.0421786,0.003965293988585472,-0.0568071,0.0568071
35,0.9595436,1.0464725,0.00928535871207714,-0.08692896,0.08692896
36,1.0611541,1.1261189,0.005185926798731089,-0.06496477,0.06496477
37,0.9966976,1.0481156,0.0032486310228705406,-0.051418006,0.051418006
38,0.9862497,1.1229059,0.022947117686271667,-0.13665617,0.13665617
39,1.1044769,1.0925438,0.00017497681255917996,0.011933088,0.011933088
40,1.1286752,1.0891114,0.0019233718048781157,0.039563775,0.039563775
41,0.87236434,1.1830038,0.11857214570045471,-0.31063944,0.31063944
42,0.93759537,1.0998815,0.032361775636672974,-0.16228616,0.16228616
43,1.0159461,1.0138485,5.40672635906958e-06,0.0020976067,0.0020976067
44,1.0426153,1.2125176,0.035470589995384216,-0.16990232,0.16990232
45,1.0154597,1.157394,0.024753959849476814,-0.1419344,0.1419344
46,1.0857904,1.1228118,0.0016841301694512367,-0.0370214,0.0370214
47,1.1453233,1.0753509,0.006016220431774855,0.069972396,0.069972396
